ID	3fm	360magazine	bright	kidsweek	nos	nrc	sevendays
Pron Pron Adv	178	12	3	4	3004	201	7
<s> Int </s>	82	0	1	0	0	106	0
N Conj Num	91	10	2	2	1935	30	5
V Art Art	0	0	1	0	0	0	1
N Misc V	301	15	3	0	5717	39	6
N Prep </s>	230	11	2	3	3237	106	5
Num Num N	142	10	2	3	3505	0	2
<s> Prep Prep	0	0	1	0	0	0	0
Conj Adv Pron	87	6	1	5	1874	75	3
Misc Art Misc	0	0	0	1	0	0	0
Int V Adv	0	0	0	3	1218	23	0
Adv Prep Prep	112	3	1	4	1999	39	1
Conj Prep Num	135	5	0	1	1390	0	3
Int V Adj	0	3	0	1	0	0	0
Conj N Conj	71	16	1	2	1659	35	5
Adv V Adv	319	16	6	4	7257	158	8
Art V N	116	9	3	8	4933	84	7
V N Prep	260	23	5	7	7712	116	7
Pron Adj Misc	76	4	1	3	0	0	1
Pron Pron Adj	113	6	5	2	2066	122	2
Num Num V	0	3	0	0	0	0	1
<s> Art Adv	0	0	1	1	0	0	0
Prep Pron Pron	119	8	4	4	1994	118	6
Num N Conj	209	17	0	7	4834	48	5
<s> N V	570	50	11	11	15039	218	12
Adj Prep Misc	130	7	3	2	1319	26	3
V V Conj	294	47	11	9	13949	347	16
V Adv Punc	0	0	1	0	0	0	0
N Adv Misc	87	4	0	0	1040	0	1
Punc Prep Adj	0	0	1	0	0	0	0
Adv Pron Adj	150	8	4	5	2258	80	4
N Adj Pron	0	0	0	1	0	30	2
Pron N </s>	367	31	9	9	6168	301	22
Adv Pron Adv	88	6	3	1	1921	99	3
Conj Adv Int	0	0	0	0	0	0	1
Art Adj Adv	142	4	3	10	3914	100	7
Art </s> <s>	76	5	2	0	1314	23	0
Pron Pron Num	0	0	0	1	0	0	1
<s> Art Adj	607	50	22	16	16623	210	21
Misc Num Art	0	0	0	0	0	0	1
V Prep Art	1467	130	29	33	59203	806	44
Adj N Pron	143	10	1	0	3602	95	5
Adv V Adj	81	6	0	3	2142	52	3
<s> Conj Conj	0	0	1	1	0	34	0
Prep Conj Conj	0	0	1	0	0	0	0
V N Adv	126	0	3	3	3151	62	2
Conj Conj Art	0	4	2	1	0	21	0
N Misc Misc	1264	39	5	19	6259	72	16
V N Adj	78	7	1	0	1725	31	4
V V Punc	0	0	1	0	0	0	0
Prep Art V	190	24	7	8	7266	141	5
Art Prep Art	89	10	3	3	3382	54	4
<s> Adj Pron	0	0	1	4	0	0	0
Adv Pron Conj	0	0	0	1	0	21	0
Adv Conj Int	0	0	2	0	0	0	0
Adv Int Adv	0	0	0	0	0	0	2
Conj Conj Adj	0	0	1	0	0	0	0
V Punc Prep	0	0	1	0	0	0	0
Adj Conj V	134	11	4	1	3125	79	6
Int Int Conj	0	0	0	1	0	0	0
<s> Prep Num	216	15	3	6	3272	24	2
Pron Adv V	222	23	4	8	6167	238	4
Adv V Prep	329	21	6	10	10121	174	9
Adv Num Pron	0	0	0	0	0	0	2
Misc Conj Prep	0	0	1	0	0	0	0
Pron Adv N	0	0	0	3	0	35	0
V Conj Conj	0	6	4	0	1048	33	3
